D,H,V
34,19.1,0.910454
31.7,20.7,0.800861
35.1,19.9,0.949773
36.8,19.9,1.071656
36.6,22.1,1.219223
36.6,19.9,1.136068
6.2,7.1,0.011231
8.1,7.3,0.021119
14.8,13.8,0.118152
14.4,13.2,0.11408
14.1,11.4,0.083894
14.2,15.4,0.109007
12.2,15.1,0.079131
9.1,9.8,0.034625
33.6,20.9,0.830623
5.7,7.1,0.012827
9.7,10.2,0.03829
8.8,8.2,0.029022
6.4,7.3,0.015279
10.8,15.3,0.072141
6.5,7.2,0.017167
5.8,7.7,0.014651
7.3,7.4,0.017806
12.8,15.3,0.097754
5.9,7.1,0.014232
7.1,7.2,0.017594
8.4,8.6,0.028998
8.4,9.2,0.027129
33.8,17.3,0.83956
39.8,17.9,1.006111
39.2,21.4,1.283359
37.2,18.8,0.901833
39.2,21,1.154106
39.8,19.6,1.235629
37.6,21.4,1.280949
35.4,16.8,0.692436
19.2,18.1,0.281006
16.6,17.2,0.215489
12.6,18.1,0.129943
16.4,16.9,0.188279
9,12.2,0.047054
18.2,17.1,0.208897
18.1,18.2,0.281444
14.2,17.5,0.141054
21,17.2,0.345674
15.4,15.1,0.151209
12.6,15.2,0.098209
18.8,18.4,0.242456
9.9,8.8,0.044466
12.2,15.9,0.098514
10,9.6,0.041238
21,17.9,0.335862
14.6,18.5,0.136452
19.6,17.5,0.278257
19.4,18.2,0.286879
21.1,19.1,0.352282
23.6,19.7,0.438246
21,15.2,0.280664
29.1,19.9,0.661006
19.3,17.5,0.256045
16.4,16.5,0.183445
21.1,18.5,0.331347
19.8,17.2,0.249415
16.8,17.3,0.19012
17.5,17.1,0.218534
16.6,16.7,0.209951
19.1,19.6,0.313869
21.3,19.4,0.263924
11.1,13.9,0.05276
18.7,16.9,0.253671
17.7,16.4,0.195418
19.4,15.8,0.228201
24.5,21.2,0.472734
23.2,16.8,0.332736
19.4,15.1,0.25604
11.4,8.9,0.051594
17.2,13.2,0.146229
12.6,11.6,0.077269
25.4,14.5,0.448051
14.3,12.6,0.108724
13.6,11.9,0.098714
16.2,14.5,0.155689
11.6,11.9,0.068992
11.2,11.5,0.052226
12.2,11.6,0.068617
8,8.1,0.026601
19.6,13.6,0.175983
8.8,7.9,0.02297
15.6,15.3,0.15634
19.8,15.5,0.236389
17.8,15.9,0.189288
16.6,17.9,0.204902
17.1,15.1,0.156862
20.4,17.2,0.281618
15,12.3,0.114196
16.2,15.4,0.156327
9.9,9.3,0.036868
15.4,13.9,0.1332
11.3,9.6,0.046489
13.6,10.6,0.080744
18,18.1,0.232913
17.2,13.3,0.140112
18,15.8,0.197689
19,16.1,0.249652
14,11.9,0.103428
21,15.9,0.255518
28.4,15.6,0.485088
19.7,12.7,0.163888
23.5,18.3,0.395144
25.4,15.9,0.372339
34,16.1,0.504533
32.6,16.3,0.69966
25.1,17.4,0.389906
9.4,10.8,0.038929
9.2,7.5,0.032634
10.4,10.3,0.048311
32.4,17.1,0.664035
32.6,16.9,0.71732
8.6,7.9,0.026461
5.5,5.9,0.008108
6.8,6.2,0.012018
8.6,7.7,0.024209
10.8,8.9,0.041834
10,8.3,0.034156
23.6,15.1,0.27558
5.4,6.4,0.008632
14.1,11.6,0.102112
13.3,10.2,0.080925
23.9,17.9,0.417364
23.1,16.8,0.425587
36.5,21.9,1.136575
31.5,19.3,0.761368
23.4,18.5,0.423574
29.6,21.2,0.592879
28.1,19.9,0.58538
25.1,19.2,0.501565
27.5,17.9,0.545085
29.2,23.5,0.68234
26.8,19.6,0.532469
37.2,21.9,1.076337
34,20.9,0.998256
34.6,20.9,0.894738
34.7,17.6,0.752079
38.4,18.9,1.009481
38.8,23.9,1.270117
27.2,20.3,0.453415
35.6,21.5,0.926947
29.8,19.5,0.591146
25.3,18.8,0.487488
31.2,21.9,0.618804
27.4,20.9,0.53919
25,18.9,0.522875
34,20.2,0.715586
29.1,18.9,0.56845
28.7,19.1,0.579288
37.1,21.9,1.010094
23.8,21.2,0.497958
31.1,19.9,0.646247
25.4,17.6,0.388074
38.5,23.5,0.95154
32.1,19.7,0.609259
27.2,21.4,0.600671
26,17.9,0.461263
31.4,19.3,0.565932
30.2,18.7,0.614429
38.2,20.8,0.908803
23.5,15.1,0.314749
22.7,15.2,0.264087
23.9,16.5,0.382407
21.1,15.2,0.269932
21.2,15.1,0.244205
5.9,5,0.007869
7.9,8.4,0.023043
7.6,7.1,0.017869
5.6,5,0.006515
5.1,4.5,0.006146
23.8,15.1,0.33343
27.3,15.7,0.403281
27.4,15.3,0.37841
33.7,15.1,0.553869
25.8,16.7,0.410837
25.9,16.9,0.350313
25.6,16.6,0.387274
21.9,15.6,0.303858
22.4,16.4,0.360564
28.2,15.6,0.424765
29.7,17.9,0.45479
31.4,19.3,0.579462
27.5,15.3,0.392252
32.7,19.9,0.698137
30.4,18.6,0.598395
31.5,21.5,0.854603
27.8,18.7,0.436862
6.2,10.4,0.016107
14.2,17.1,0.144293
6.8,10.6,0.023095
8,11.1,0.034042
8,8.5,0.025755
10.6,16.3,0.085352
7,10.8,0.027534
5.9,9.8,0.013731
11.2,15.1,0.078876
7.2,9.2,0.019067
6.8,10.2,0.021632
13,15.3,0.114239
14,18.2,0.153487
5.4,8.6,0.011686
14.6,15.7,0.115842
9.1,15.5,0.058517
12.6,18.6,0.126927
14.2,15.1,0.122262
12.8,18.5,0.131063
10.8,15.6,0.069518
9.4,11.9,0.047233
11.7,16.6,0.098279
6.6,8.9,0.015892
12.7,15.7,0.096984
12.2,17.7,0.103571
10.2,15.2,0.07608
6,10.6,0.016229
11.5,17.4,0.097803
6,9.9,0.015732
11.4,16.4,0.096313
8,9.4,0.029462
9.8,10.5,0.043178
10.1,13.1,0.055134
10.2,15.6,0.068003
9.2,12.4,0.04461
7.4,10.3,0.024451
10.8,15.6,0.068313
6.5,10.3,0.017276
13.4,17.5,0.133785
5.1,8.4,0.009849
11.4,17.1,0.103391
11.9,14.3,0.08985
13,18.6,0.123541
13,17.7,0.124065
14.9,17.3,0.157096
13.2,17.9,0.123983
8.6,12.1,0.039466
8.5,12.1,0.033447
7.6,12.4,0.037233
8.7,12.7,0.045202
32.4,18.1,0.523993
24.6,19,0.432145
23.2,19.4,0.412954
27.1,19.2,0.540094
19,17.3,0.247512
20.8,18.5,0.425397
22.5,17.3,0.353578
23,16.8,0.342217
24.8,17.9,0.425602
24.4,17.1,0.425365
30.8,18.4,0.646829
25.4,19.8,0.552031
15.4,17.7,0.163154
19.6,16.7,0.234459
18,17.3,0.250837
18.2,19.2,0.275946
23.7,18.9,0.416486
26,22.9,0.536972
21.5,20.4,0.350711
35.8,22.7,1.053746
29.5,23.3,0.707128
20.6,20.7,0.372038
20,20.1,0.308769
36.7,21.8,1.013454
20.5,20.5,0.408318
17.2,18.5,0.208654
22,17.5,0.295129
31.4,21.9,0.745554
25.8,18.5,0.480519
21.8,19.5,0.361311
30.4,22.4,0.716199
16.3,19.8,0.22111
38,21.8,1.047475
8.5,9.4,0.025139
7.6,12.1,0.03116
7.5,8.9,0.021713
13.6,16.2,0.125358
11.7,15.2,0.082756
9.2,13.3,0.046386
9.4,12.6,0.048906
7.6,12.1,0.034467
10,13.2,0.055151
9.4,13.1,0.049658
7.3,9.6,0.020284
8.2,12.3,0.038675
12.5,16.3,0.103477
13.8,14.8,0.12083
11.8,13.4,0.069906
10.6,13.1,0.062179
8.4,8.9,0.028084
10,12.1,0.046691
6.7,9.1,0.017975
8.8,11.4,0.037429
13.1,16.9,0.110519
12.1,12.1,0.077582
6.5,9.7,0.016228
11.3,14.4,0.080878
12.4,13.1,0.081869
14.8,16.7,0.167525
14.9,15.3,0.133193
13.5,16.4,0.128266
11.2,13.4,0.067404
11.7,10.6,0.057515
13.1,15.8,0.103597
9,11.1,0.035651
10.8,14.9,0.073808
7.8,10.5,0.026586
5.9,7.7,0.010671
8.2,10.7,0.029825
7.4,12.1,0.02846
9.6,15.7,0.060443
6.6,8.3,0.017064
5.9,7.6,0.012579
5.2,8.8,0.011525
11.6,15.9,0.082939
12.6,16.1,0.10429
6.7,10.3,0.019651
14.1,15.9,0.124813
6.4,9.8,0.0186
5.9,7.8,0.012108
14.2,17.2,0.137886
6.8,9.3,0.020372
14.1,16.5,0.124917
21.5,19.9,0.368888
16.6,17.3,0.208242
15.1,15.9,0.157316
21.4,17.5,0.34285
21.8,20.6,0.409855
28.4,19.6,0.593589
13.8,12.5,0.110766
26,19.5,0.534669
16.8,16.4,0.169036
24.8,18.6,0.427782
18,18.4,0.249702
20,18.4,0.300082
22,19.9,0.389707
16.4,18.7,0.204838
19.2,19.1,0.279899
16.8,18.2,0.22732
22,19.9,0.349669
15.2,17.6,0.175238
10.8,10.8,0.060199
14.4,17.5,0.148704
21.6,19,0.380167
23.2,18.8,0.426474
23.3,19.5,0.454749
26.2,22.1,0.56684
23.7,21.9,0.515803
18.4,18.3,0.225481
20.8,21.3,0.372503
26.2,17.5,0.425469
23.2,18.5,0.343487
17,18.8,0.206995
27.2,20.4,0.49401
13.8,16.4,0.142625
23.2,20.5,0.475058
30.2,21.1,0.67942
20.2,16.4,0.231001
29.2,21.6,0.626085
20.8,20.5,0.428856
28.6,20.5,0.59563
13.2,17.4,0.135216
9.7,11.5,0.046281
20.8,17.8,0.293985
10.2,13.5,0.063163
14.7,17.9,0.163045
13.7,15.7,0.129376
18.2,17.3,0.246627
12.2,14.1,0.084695
18.9,16.6,0.263347
30.6,20.8,0.730936
32,20.9,0.703363
31.2,21.5,0.719375
27,21.6,0.635355
30.2,21.9,0.64066
28,21.6,0.599121
26.6,20.1,0.534506
35.7,22.6,0.976499
8.4,10.9,0.033583
8.8,11.8,0.038042
10,12.1,0.047971
6.2,7.9,0.012575
6,10.1,0.01486
12.9,17.2,0.119186
5.6,9.2,0.01241
25.4,19.8,0.484365
7.4,11.1,0.025659
10.6,15.2,0.075351
6.2,9.8,0.014884
11.6,15.1,0.08974
12.8,16.7,0.104748
12.8,17.4,0.123179
9.8,14.4,0.054765
7.6,10.4,0.030917
6.8,11.1,0.020742
7.3,9.5,0.021442
25.8,21.7,0.465201
12,15.7,0.104763
27.4,19.1,0.445761
6,7.2,0.010853
29.3,22.2,0.65989
18.8,17.6,0.228428
8.5,10.8,0.033249
37.8,22.9,1.182679
35.2,21.2,0.91226
34.4,18.9,0.843265
36.6,22.1,1.118806
6.2,7.6,0.012636
11.3,17.6,0.086076
11.1,15.4,0.076116
13.2,16.9,0.128019
13,17.3,0.120288
10.9,12.2,0.066234
10.1,11.7,0.054804
33,22.4,0.940928
37.1,24.7,0.809922
37,22.8,1.079114
39.1,18.8,0.868144
38,22.9,0.97492
11.7,11.2,0.072287
8.4,10.9,0.031143
5.4,9.4,0.014321
6.6,11.6,0.022613
6.8,12.8,0.026342
6.4,10.9,0.018243
5.6,10.3,0.016289
5.2,8.3,0.009623
7.4,9.1,0.018766
7.4,9.1,0.01788
8.3,10.9,0.0307
7.5,9.1,0.018528
8.3,10.9,0.030525
8.5,11.1,0.031533
8,10.9,0.028217
7.8,9.5,0.022572
8.2,11,0.030149
8,12.9,0.034541
11.2,12.8,0.055012
12.1,14.1,0.090625
12.3,12.7,0.076186
11.2,12.6,0.063971
11.3,13.6,0.071691
11.2,13.4,0.069122
10.9,13.6,0.071545
10.9,12.6,0.062335
12.2,12.7,0.07496
12,14.1,0.089416
10.9,12.8,0.054711
13,13.5,0.096948
13.3,13.5,0.097855
12.9,13.5,0.098238
13.1,13.7,0.098577
13.1,13.4,0.097578
13.1,13.4,0.097279
13.2,13.7,0.098524
9.4,13.5,0.057208
9.4,14.9,0.054449
9.5,12,0.044977
10,13.9,0.060572
10.6,11,0.048327
9.4,11.8,0.042717
5.7,8.4,0.012491
5.9,8.4,0.011019
10.7,11,0.048786
37.6,20.5,1.019494
32.4,24.9,1.120346
33.6,24,1.223415
29.1,23.1,0.799378
26.2,22.5,0.610644
17.1,17.5,0.261208
20.5,16.1,0.325327
21.6,16.5,0.346548
22.3,18.9,0.414098
22,21.2,0.462942
21.2,16.5,0.37079
39.5,24.5,1.518863
24.4,19.9,0.523646
15.7,12.5,0.148356
31.7,22.9,0.891983
35.4,25.6,1.224558
18.9,17,0.260582
17.3,15.9,0.239446
17.2,15.5,0.218755
17.6,16.3,0.207303
19,16.7,0.213017
19.6,16.6,0.265199
22.2,16.8,0.319126
5.4,6.5,0.008289
5.4,6.5,0.008168
6.9,9.1,0.019323
5.8,6.6,0.010453
31.3,22.9,0.942099
35.5,24.6,1.230697
31,22.9,0.936651
38.4,23.9,1.031557
23,18.8,0.367901
10.9,15,0.081314
25.9,17,0.461785
27.8,19.4,0.51251
7.6,10.5,0.028204
19.4,19.1,0.262112
14.8,13.8,0.137433
13.1,13.8,0.106048
10.2,11.5,0.062678
14.3,15.3,0.14322
12.8,14.2,0.10038
7.2,9.5,0.020886
16.3,16.9,0.185518
10.1,15,0.072938
12.2,15.9,0.111899
8.5,11.6,0.036533
14.4,15.2,0.128911
8.4,11.6,0.036533
9.2,14.1,0.042777
13.8,15.6,0.123257
10.4,15,0.06796
12.4,16.2,0.11163
10,15,0.072036
12,15.9,0.109794
17.2,17.8,0.225804
13.8,14,0.107128
16.2,16.9,0.182951
7,9.5,0.020525
8,13.3,0.034524
16.3,15.9,0.221906
16.1,16.5,0.196337
6.7,8.5,0.019675
6.7,11.4,0.023429
8.5,11.2,0.042584
17.1,17,0.214411
22.6,18.1,0.400891
19.4,18.2,0.258857
20.4,19.4,0.346933
33.7,22.5,0.898635
36.7,20.1,1.112336
31.2,22.5,0.825467
33.9,22.4,1.004045
23.6,18.8,0.403405
26.7,17.6,0.516758
26.2,16.8,0.453197
35.7,22.5,1.0185
38.7,21.8,1.28084
36.6,23.6,1.271549
33.6,22.34,0.980609
26.2,20.7,0.549833
11.4,15.1,0.080231
15.2,13.5,0.164952
38,23,1.059448
32.2,19.2,0.719356
28.8,16.9,0.472447
12.6,14.4,0.10749
23,19.3,0.382923
26.7,21.5,0.574397
27.5,21.3,0.601626
16.8,17,0.207818
29.7,22.1,0.717213
30.3,23.5,0.817295
23.6,19.1,0.42304
30.2,23.9,0.880761
33.5,24,1.214222
35.5,25.6,1.23098
34.7,24.7,1.012031
30.8,23.4,0.754767
35.5,24.2,0.893153
28.2,23.5,0.667521
39.7,26.49,1.551192
9.2,11.5,0.041756
29.7,22.9,0.646316
34.7,26.5,1.028051
27.3,23.1,0.598684
37.8,25.7,1.235276
9.1,11.26,0.042827
16.1,21.5,0.232784
15.7,17.5,0.164126
35.9,23.44,1.120583
31.2,21.64,0.744905
31.6,21.33,0.735939
32.8,20.21,0.711072
32,20.26,0.750807
31.7,21.72,0.806204
39.4,19.86,1.017119
35.7,23.24,1.055729
37.4,21.78,1.042072
38.9,25.41,1.41952
38.5,25.5,1.393462
30,21.73,0.622282
20.4,19.22,0.322623
24.1,18.8,0.45727
35.4,23.35,1.098042
31.1,21.42,0.705548
26.6,23.47,0.602694
26.3,23.39,0.604494
28.4,21.9,0.639329
23,19.38,0.363823
23.9,21.03,0.52032
27,23.1,0.591735
22.6,20.76,0.426186
22.3,18.1,0.333045
17.1,14.7,0.188784
16.6,17.5,0.209315
21.6,19.1,0.282081
23.8,19.3,0.363382
22.3,20.2,0.395932
34.7,19.25,0.735141
27.4,20.3,0.570444
19.7,16.91,0.264626
25.7,19.13,0.422823
36.4,24.24,1.238138
16.2,17.52,0.1964
22.9,21.2,0.423738
18.9,18.91,0.265858
34.9,23.98,1.08191
16.6,15.62,0.158763
27.8,19.6,0.59432
13.5,14.19,0.097194
36.7,25.82,1.210131
32,21.3,0.740564
26.9,23.45,0.59187
26.4,23.1,0.64395
27.4,24.4,0.708511
35.4,27.5,1.322314
24.4,23.98,0.524468
24.1,22.73,0.474956
29.4,24.88,0.79664
32.2,25.91,1.067914
26.8,24.8,0.613704
29,22.8,0.600293
26,21.2,0.55618
30.1,21.8,0.765832
28.6,22.15,0.632859
38.4,21.5,0.863676
29.4,21.9,0.739039
27.8,20.65,0.589675
17.9,16.7,0.192276
20.4,17.02,0.248005
22,17.2,0.289803
21.3,15.84,0.282363
19.9,15.17,0.237532
22.2,17.82,0.311428
21.4,15.1,0.2621
30.9,23.43,0.773022
34.7,24.67,1.057672
28.4,23.43,0.676397
35.7,24.32,0.88161
34.9,26.9,1.048564
27.5,23.3,0.6071
30.1,23.1,0.663694
37.9,25.42,1.24692
29.2,22.82,0.616679
32.6,23.58,0.862963
34.2,16.6,0.62306
18.8,20.42,0.326078
29.4,22.97,0.70283
24.3,22.7,0.555797
15.5,15.8,0.167388
19.1,19.95,0.315603
18.6,19.56,0.305976
33.2,22.7,0.880399
16.6,20.23,0.210506
19.6,19.23,0.265187
21.1,18.58,0.329123
22.1,18.22,0.326596
32.7,21.27,0.806191
20.2,18.24,0.273096
17.2,19.33,0.242225
26.8,19.35,0.564294
27.5,24.48,0.702555
29.9,19.73,0.621195
24,19.98,0.434775
32.7,24.47,0.971412
33.6,23.96,0.907371
35.1,24.96,1.057424
34.7,23.3,0.903302
35.2,23.71,1.050477
33.2,21.4,0.810535
6,8.18,0.011994
6.8,9.79,0.017169
5.5,9.53,0.012108
7.4,9.46,0.02302
7.8,10.34,0.026002
7.3,9.88,0.021469
5.5,8.78,0.011825
5.1,7.33,0.008555
8.3,10.57,0.03103
8.4,10.13,0.029028
9.1,11.63,0.043467
10.8,13.3,0.065846
9.6,12.97,0.050418
9.8,14.42,0.057553
9.6,11.76,0.050162
35,25.98,1.216082
34.1,23.88,0.994876
28,19.7,0.612931
18.2,17.06,0.228438
15.5,14.5,0.145654
15.9,17.4,0.16871
13.9,15.51,0.108203
14.4,15.1,0.133877
37.1,21.1,1.002972
17.9,15.7,0.184763
19.6,18.7,0.28943
20.5,18.7,0.298586
13.2,13.7,0.10552
11,11.8,0.063645
12.8,12.1,0.088534
15,13.6,0.117474
11.9,13.7,0.084645
17.5,17,0.198181
20.7,18.1,0.276374
11.2,12.07,0.061813
37.9,20.92,1.081416
31.4,21.5,0.853778
19.2,16.76,0.240663
24.5,20.5,0.524874
21.8,15.7,0.291304
22,17.9,0.369669
22.7,19,0.340845
19.1,19.5,0.248696
38.3,21,1.121546
36.5,21.23,0.973573
39.5,23.89,1.34575
38.6,25.3,1.356121
34.4,25.34,1.074897
37.3,23.02,1.233539
25.7,19.63,0.432642
37.1,22.9,1.253085
39.3,24.87,1.470222
39.3,23.53,1.049452
26.6,22.7,0.53551
25.6,19.7,0.427476
39.1,25,1.454251
38.7,23.4,1.054696
34.1,25.2,1.055866
39.3,22.6,1.101152
39,22.02,1.107729
